UGCA90          04 21 13.5  -21 50 44  10.40  12.70   7   0.02  14.12  0.06  13.94  0.05
NGC1592         04 29 40.8  -27 24 31  10.60  14.60  10   0.04  14.06  0.05  14.10  0.03
NGC1569         04 30 49.0  +64 50 53   3.36  11.86  10   0.69   9.65  0.05   9.02  0.04
UGCA92          04 32 04.9  +63 36 49   1.80  15.22  10   0.78  15.69 99.99  15.88 99.99
NGC1560         04 32 47.7  +71 52 46   3.45  12.20   7   0.19  13.30  0.05  12.89  0.03
ESO158-G003     04 46 16.7  -57 20 35  10.00  14.01   9   0.01  15.47  0.05  15.20  0.03
UGC3174         04 48 34.5  +00 14 30   8.10  15.02  10   0.09  16.12  0.18  15.76  0.05
ESO119-G016     04 51 29.2  -61 39 03   9.80  14.80  10   0.02  16.05  0.05  15.77  0.03
NGC1705         04 54 13.7  -53 21 41   5.10  12.80  11   0.01  13.33  0.05  13.41  0.03
ESO252-IG001    04 56 58.7  -42 48 14   6.00  14.40  99   0.01  99.99 99.99  99.99 99.99
NGC1744         04 59 57.6  -26 01 19   7.70  11.60   6   0.04  13.01  0.05  12.83  0.03
NGC1796         05 02 42.8  -61 08 23  10.30  12.90   5   0.02  14.94  0.05  14.43  0.03
ESO486-G021     05 03 19.7  -25 25 23   8.90  14.50   2   0.03  15.28  0.05  15.07  0.03
MCG-05-13-004   05 06 24.1  -31 57 11   6.60  13.20   9   0.01  99.99 99.99  99.99 99.99
NGC1800         05 06 25.4  -31 57 15   8.20  13.07   9   0.01  14.59  0.05  14.43  0.03
NGC1808         05 07 42.3  -37 30 46  10.60  10.76   1   0.03  14.20  0.10  13.51  0.06
ESO305-G009     05 08 07.6  -38 18 33  10.90  13.00   8   0.03  14.31  0.07  14.15  0.04
UGCA103         05 10 47.0  -31 35 50  10.40  13.10   9   0.01  99.99 99.99  99.99 99.99
UGCA106         05 11 59.3  -32 58 21   9.80  13.10   9   0.02  13.98  0.05  13.83  0.09
UGCA105         05 14 15.0  +62 34 31   3.15  14.50  10   0.31  12.55  0.06  12.20  0.35
LMC             05 23 34.5  -69 45 22   0.05   0.91   9   0.07  99.99 99.99  99.99 99.99
UGC3303         05 24 59.5  +04 30 18   7.20  13.95  10   0.13  99.99 99.99  99.99 99.99
ESO553-G046     05 27 05.7  -20 40 41   5.00  14.50   1   0.05  15.11  0.05  15.00  0.05
ESO306-G013     05 38 58.3  -41 44 14  10.80  14.20   3   0.04  99.99 99.99  99.99 99.99
UGCA114         05 50 54.3  -14 46 45   9.80  12.97   7   0.16  13.75  0.07  13.40  0.08
UGCA116         05 55 42.6  +03 23 30   9.10  15.50  11   0.82  12.72  0.10  12.17  0.05
KKH34           05 59 41.2  +73 25 39   4.61  17.10  10   0.24  20.06 99.99  20.32 99.99
AM 0603-330     06 05 45.2  -33 04 51   7.40  14.00  10   0.05  99.99 99.99  99.99 99.99
AM0605-341      06 07 19.3  -34 12 17   7.00  15.50  10   0.04  99.99 99.99  99.99 99.99
NGC2188         06 10 09.5  -34 06 22   6.80  12.10   9   0.03  99.99 99.99  99.99 99.99
UGCA120         06 11 16.3  -21 35 57   8.70  14.10  10   0.08  99.99 99.99  99.99 99.99
UGCA127         06 20 55.5  -08 29 42   7.50  14.16   6   0.83  99.99 99.99  99.99 99.99
UGC3475         06 30 28.8  +39 30 14   7.00  15.00   9   0.18  99.99 99.99  99.99 99.99
ESO255-G019     06 45 48.2  -47 31 52  10.40  14.00   9   0.08  99.99 99.99  99.99 99.99
KKH37           06 47 45.8  +80 07 26   3.26  16.40  10   0.07  18.32  0.07  17.81  0.04
ESO207-G007     06 50 39.9  -52 08 25  10.70  14.20   9   0.08  15.31  0.11  15.10  0.08
UGC3600         06 55 40.0  +39 05 43   7.30  16.19  10   0.09  17.44  0.09  17.07  0.05
AM0704-582      07 05 18.8  -58 31 13   4.90  14.95   9   0.12  99.99 99.99  99.99 99.99
NGC2337         07 10 13.5  +44 27 26   7.90  13.48  10   0.09  14.48  0.06  14.14  0.03
UGC3817         07 22 44.5  +45 06 31   8.60  15.96  10   0.10  16.88  0.25  16.46  0.09
UGC3860         07 28 17.2  +40 46 12   7.81  15.10  10   0.06  16.33  0.07  15.97  0.04
NGC2366         07 28 54.6  +69 12 57   3.21  11.43  10   0.04  12.42  0.05  12.34  0.03
UGC3876         07 29 17.5  +27 53 58  10.80  14.10   6   0.05  99.99 99.99  99.99 99.99
ESO059-G001     07 31 18.2  -68 11 17   4.57  13.98  10   0.15  99.99 99.99  99.99 99.99
NGC2427         07 36 27.9  -47 38 05   9.00  12.33   8   0.21  99.99 99.99  99.99 99.99
NGC2403         07 36 51.4  +65 36 09   3.22   8.93   6   0.04  10.31  0.05  10.12  0.04
UGC3966         07 41 26.0  +40 06 44   6.80  13.90  10   0.05  15.83  0.06  15.60  0.05
UGC3974         07 41 55.4  +16 48 09   8.04  13.60  10   0.03  14.77  0.05  14.46  0.03
CGCG262-028     07 47 32.1  +51 11 29   6.90  14.90   5   0.07  15.46  0.06  15.39  0.04
UGC4115         07 57 01.8  +14 23 27   7.72  15.23  10   0.03  15.60  0.05  15.37  0.04
NGC2500         08 01 53.3  +50 44 15   7.60  12.20   7   0.04  13.46  0.06  13.32  0.03
NGC2537         08 13 14.7  +45 59 26   6.90  12.82   8   0.05  13.88  0.05  13.69  0.03
